Scene,Trigger,Person,EN,UK,RU
B,,Secretary,"Well, which ones did you have in mind? ","Ну, і які ви мали на увазі?","Ну, и какие вы имели в виду?"
B,,Hook,Hm... how about a cactus?,Хм... як щодо кактуса?,Хм... как насчет кактуса?
B,,Secretary,"Yeah, those always give me a weird stinging sensation in my finger tips. ","Так, від них у мене завжди дивне колюче відчуття на кінчиках пальців.","Да, от них у меня всегда странное колющее ощущение на кончиках пальцев."
B,,Hook,Well ... I'll be off making an appointment.,Що ж... піду записуватися на прийом.,Что ж... пойду записываться на прием.
B,,Secretary,You do that.,Вперед.,Давайте.
B,,,Return to location 17.,Поверніться до локації 17.,Вернитесь в локацию 17.
B,J3,Hook,Remember how you said you'd love to go on a date with me?,"Пам'ятаєте, ви казали, що залюбки пішли б зі мною на побачення?","Помните, вы говорили, что с удовольствием пошли бы со мной на свидание?"
B,J3,Secretary,I'm working.,Я працюю.,Я работаю.
B,J3,Hook,"Which is exactly why I brought our date here. See, I brought some alcohol, the good looks, but most importantly, my company. ","Саме тому я приніс наше побачення сюди. Дивіться: я приніс випивку, свою красу, але найголовніше — свою компанію.","Именно поэтому я принес наше свидание сюда. Смотрите: я принес выпивку, свою красоту, но самое главное — свою компанию."
B,J3,Secretary,You have gray hair.,Ви сивий.,Вы седой.
B,J3,Hook,"And you a keen perception. So what do you say: just a quick drink never hurt anyone, eh? ","А ви спостережлива. То що скажете: хильнути по-швидкому нікому ще не зашкодило, га?","А вы наблюдательна. Так что скажете: выпить по-быстрому еще никому не вредило, а?"
B,J3,Secretary,"If I have a sip, will you stop asking me to go out with you? ","Якщо я зроблю ковток, ви перестанете запрошувати мене на побачення?","Если я сделаю глоток, вы перестанете приглашать меня на свидание?"
B,J3,Hook,Of course.,Звісно.,Конечно.
B,J3,,"She takes a generous sip, then hands the glass back to you.","Вона робить щедрий ковток, а потім повертає вам склянку.","Она делает большой глоток, а затем возвращает вам стакан."
B,J3,Secretary,There. Now please leave.,"Ось. А тепер, будь ласка, йдіть.","Вот. А теперь, пожалуйста, уходите."
B,J3,Hook,"Sure, yeah, I'll be sitting right over there. ","Звісно, так, я посиджу он там.","Конечно, да, я посижу вон там."
B,J3,,"You take a seat and watch. After a few minutes, beads of sweat start forming on the secretary's forehead and you can clearly hear her stomach growl. Moments later, she has left her seat, storming towards the bathroom down the hall.","Ви сідаєте і спостерігаєте. Через кілька хвилин на чолі секретарки виступають краплі поту, і ви чітко чуєте бурчання в її животі. За мить вона зривається з місця і мчить коридором до вбиральні.",Вы садитесь и наблюдаете. Через несколько минут на лбу секретарши выступают капли пота. Вы четко слышите бурчание в её животе. Через мгновение она срывается с места и бежит в туалет в конце коридора.
B,J3,Hook,... and then there were none. What now?,... а потім їх не було. Що ж тепер?,...а потом их не стало. Что теперь?
B,J3,,Return to location 17 and read m2c8 there.,Поверніться до локації 17 та прочитайте там m2c8.,Вернитесь в локацию 17 и прочитайте данные в m2c8 там.
C,,,"You enter the visiting area and find your seat opposite Jeremiah ""Fly"" King. Sipping water from a paper cup, the man's eyes narrow. When you don't say anything, the hacker breaks the silence.","Ви заходите до кімнати для відвідувачів і сідаєте навпроти Джеремії ""Флая"" Кінга. Чоловік, примружившись, сьорбає воду з паперового стаканчика. Коли ви продовжуєте мовчати, хакер порушує тишу.","Вы входите в комнату для свиданий и садитесь напротив Джеремии «Флая» Кинга. Мужчина, прищурившись, отхлебывает воду из бумажного стаканчика. Видя, что вы молчите, хакер прерывает тишину."
C,,Fly,You're not my mother.,Ти не моя мама.,Ты не моя мама.
C,,Hook,What gave it away?,Що мене видало?,Что меня выдало?
C,,Fly,My mom has better taste in clothing.,У моєї мами кращий смак в одязі.,У моей мамы вкус в одежде получше.
C,,Hook,Haven't you heard? Beanies are in this year.,Хіба ти не чув? Шапки-біні цього року в моді.,Разве ты не слышал? Шапки-бини в этом году в моде.
C,,Fly,"Well, then I'm just glad that I'm locked in here. What can I do for ya? ","Ну, тоді я просто радий, що мене тут замкнули. Чим можу допомогти?","Ну, тогда я просто рад, что меня здесь заперли. Чем могу помочь?"
C,,Hook,"You're the one they call ""Fly"". ","Ти той, кого називають ""Муха"".","Ты тот, кого называют «Муха»."
C,,Fly,"Ah, that, yeah. When I was a teenager, I used to never leave the net, so some folks started calling me that and it caught on. Or because I'm always knee deep in shit, depending on who you ask. Is this about my hearing? ","А, це... так. Коли я був підлітком, я майже не вилазив з мережі (павутини), тому дехто почав мене так називати, і це прижилося. Або тому, що я вічно по вуха в лайні — залежить від того, кого спитати. Це щодо мого слухання?","А, это... да. Когда я был подростком, я почти не вылезал из сети (паутины), поэтому некоторые стали меня так называть, и это прижилось. Или потому, что я вечно по уши в дерьме — смотря кого спросить. Это по поводу моего слушания?"
C,,Hook,"Well, I ain't no doctor, but I'd say your hearing is fine. No, kid, I was asking an old friend of mine for Cantaloop's best hacker and your name came up. So consider this a job interview. ","Ну, я не лікар, але сказав би, що зі слухом у тебе все гаразд. Ні, малий, я питав старого друга про найкращого хакера Канталупа, і спливло твоє ім'я. Тож вважай це співбесідою.","Ну, я не врач, но сказал бы, что со слухом у тебя все в порядке. Нет, парень, я спрашивал старого друга о лучшем хакере Канталупа, и всплыло твое имя. Так что считай это собеседованием."
C,,Fly,"A job interview?! In case you didn't notice, I'm currently taking a break from the job market. ","Співбесіда?! Якщо ти не помітив, я зараз взяв перерву на ринку праці.","Собеседование?! Если ты не заметил, я сейчас взял перерыв на рынке труда."
C,,Hook,"Well, these sorts of problems tend to present themselves if you do what I do. Nothing that couldn't be solved with a little wit. ","Ну, такі проблеми часто виникають, якщо займаєшся тим, чим я. Нічого такого, що не можна вирішити, маючи трохи клепки.","Ну, такого рода проблемы часто возникают, если занимаешься тем же, чем и я. Ничего такого, что нельзя решить, имея немного смекалки."
C,,Fly,"Yeah? Well, good luck. The guards won't even let me near a computer. ","Так? Ну, удачі. Охоронці мене навіть до комп'ютера не підпускають.","Да? Ну, удачи. Охранники меня даже к компьютеру не подпускают."
C,,Hook,"Oh, I meant I'd get you out first, of course. ","О, я мав на увазі, що спочатку витягну тебе звідси, звісно.","О, я имел в виду, что сначала вытащу тебя отсюда, конечно."
C,,Fly,"Right. You got, like, friends in high places or something? ","Ага. У тебе що, типу, друзі на високих посадах чи щось таке?","Ага. У тебя что, типа, друзья на высоких постах или что-то такое?"
C,,Hook,"Quite the opposite, actually. Does the name Oz Carpenter ring a bell? ","Насправді, якраз навпаки. Тобі про щось говорить ім'я Оз Карпентер?","На самом деле, как раз наоборот. Тебе о чем-то говорит имя Оз Карпентер?"
C,,Fly,"Yeah, I've heard the name. Big time con artist and thief. He died, right? ","Так, чув таке ім'я. Великий аферист і злодій. Він помер, так?","Да, слышал такое имя. Крупный аферист и вор. Он умер, да?"
C,,Hook,"Mfh, he's just been in hiding for a couple of years. But he's back, and he's looking for a crew. ","Пф, він просто заліг на дно на пару років. Але він повернувся і шукає команду.","Пф, он просто залег на дно на пару лет. Но он вернулся и ищет команду."
C,,Fly,"Wait, you? You're ""Hook""? ","Чекай, ти? Ти — ""Гак""?","Погоди, ты? Ты — ""Хук""?"
C,,Hook,In the flesh.,Власною персоною.,Во плоти.
C,,Fly,"Well, this day took a surprising turn. ","Що ж, цей день прийняв несподіваний оборот.","Что ж, этот день принял неожиданный оборот."
C,,Hook,I need to know if you're as good as they say you are.,"Мені треба знати, чи ти справді такий крутий, як про тебе кажуть.","Мне нужно знать, действительно ли ты так крут, как о тебе говорят."
C,,Fly,"Well, what are we talking about? Bank, casino? ","Ну, про що йдеться? Банк, казино?","Ну, о чем речь? Банк, казино?"
C,,Hook,Private property.,Приватна власність.,Частная собственность.
C,,Fly,"Private. Sure, I can pull that off. ","Приватна. Звісно, я впораюся.","Частная. Конечно, я справлюсь."
C,,Hook,"Well, you don't know which property it is yet. ","Ну, ти ще не знаєш, чия це власність.","Ну, ты еще не знаешь, чья это собственность."
C,,,"You utter the words ""White Mansion"" and Fly's jaw drops.","Ви вимовляєте слова ""Маєток Вайта"", і у Флая відвисає щелепа.","Вы произносите слова «Особняк Уайта», и у Флая отвисает челюсть."
C,,Fly,"Oh, OK. ","О, гаразд.","О, ладно."
C,,Hook,Yeah.,Еге ж.,Ага.
C,,Fly,Damn. You're going after the ITP?,Чорт. Ти націлився на ITP?,Черт. Ты нацелился на ITP?
C,,Hook,"Listen, if you can't do it, that's fine, it was good meeting you, the water's on me, just- ","Слухай, якщо ти не потягнеш, нічого страшного, радий був знайомству, вода за мій рахунок, просто...","Слушай, если не потянешь, ничего страшного, рад был знакомству, вода за мой счет, просто..."
C,,Fly,"No, no. I can do it. When do we start? ","Ні, ні. Я можу. Коли починаємо?","Нет, нет. Я могу. Когда начинаем?"
C,,Hook,"Give me a couple of hours to figure out how to get you out of here, and to find another crew member. Know anything about the prison that might help? ","Дай мені пару годин, щоб придумати, як витягнути тебе звідси, і знайти ще одного члена команди. Знаєш щось про в'язницю, що може допомогти?","Дай мне пару часов, чтобы придумать, как вытащить тебя отсюда, и найти еще одного члена команды. Знаешь что-то о тюрьме, что может помочь?"
C,,Fly,"Yeah, sure. Let me think. Well, you know, there's guards, cameras, the usual. Maybe you could start by getting the blueprints for the prison, that'd give you a good idea of where you can move around freely. ","Так, звісно. Дай подумати. Ну, знаєш, охорона, камери — все як завжди. Можеш почати з пошуку креслень в'язниці, це дасть тобі розуміння, де можна вільно пересуватися.","Да, конечно. Дай подумать. Ну, знаешь, охрана, камеры — все как обычно. Можешь начать с поиска чертежей тюрьмы, это даст тебе понимание, где можно свободно передвигаться."
C,,Hook,"Blueprints, got it. What else? ","Креслення, зрозумів. Що ще?","Чертежи, понял. Что еще?"
C,,Fly,"Hm, the guards here change, like, every week or so. You could probably disguise as one and no one would even notice. Hm, but no. How are we gonna do that? ","Хм, охоронці тут змінюються десь раз на тиждень. Ти міг би переодягнутися в одного з них, і ніхто б навіть не помітив. Хм, хоча ні. Як ми це зробимо?","Хм, охранники здесь меняются где-то раз в неделю. Ты мог бы переодеться в одного из них, и никто бы даже не заметил. Хм, хотя нет. Как мы это сделаем?"
C,,Hook,Do what?,Зробимо що?,Сделаем что?
C,,Fly,"Thing is, best time to get me out would be during the shift change, when I'm in my cell. If I could get my cell open somehow, and you could open the main doors on the second floor ... I don't know man, that'll be really tough. The main doors can only be opened from the outside, with a keycard. But we can probably figure that out somehow; I could probably swipe a card from one of the guards. ","Річ у тім, що найкращий час для втечі — під час перезмінки, коли я в камері. Якби я міг якось відкрити свою камеру, а ти — головні двері на другому поверсі... Не знаю, чувак, це буде реально важко. Головні двері відчиняються тільки зовні, карткою-ключем. Але ми щось придумаємо; я міг би поцупити картку в одного з охоронців.","Дело в том, что лучшее время для побега — во время пересменки, когда я в камере. Если бы я мог как-то открыть свою камеру, а ты — главные двери на втором этаже... Не знаю, чувак, это будет реально сложно. Главные двери открываются только снаружи, ключ-картой. Но мы что-нибудь придумаем; я мог бы стянуть карту у одного из охранников."
C,,Hook,So the cell doors are the problem.,"Отже, проблема в дверях камери.","Значит, проблема в дверях камеры."
C,,Fly,"Yeah. They just updated their security system. The warden has to greenlight the opening of the cells from his computer. And I don't think you know how to hack into a computer, do you? ","Так. Вони щойно оновили систему безпеки. Начальник в'язниці має дати дозвіл на відкриття камер зі свого комп'ютера. І я не думаю, що ти вмієш зламувати комп'ютери, чи не так?","Да. Они только что обновили систему безопасности. Начальник тюрьмы должен дать разрешение на открытие камер со своего компьютера. И я не думаю, что ты умеешь взламывать компьютеры, верно?"
C,,Hook,"I almost won a game of minesweeper once. That's pretty good, right? ","Якось я майже виграв у ""Сапера"". Це ж непогано, правда?","Однажды я почти выиграл в ""Сапера"". Это же неплохо, да?"
C,,Fly,"I'll need to access it somehow. Maybe we could get a transmitter set up or something... OK, yeah, can you go to my flat and pick that up? I hid it in the bathroom, so I don't think the police found it. The address is 205 Mason St., Apt. #1406. ","Мені потрібен доступ до нього. Може, встановимо передавач чи щось таке... О, точно, можеш сходити до мене додому і забрати його? Я сховав його у ванній, тож не думаю, що поліція його знайшла. Адреса: Мейсон-стріт 205, квартира 1406.","Мне нужен доступ к нему. Может, установим передатчик или что-то такое... О, точно, можешь сходить ко мне домой и забрать его? Я спрятал его в ванной, так что не думаю, что полиция его нашла. Адрес: Мейсон-стрит 205, квартира 1406."
C,,Hook,"Transmitter, got it. What do I do with it once I have it? ","Передавач, зрозумів. Що з ним робити, коли заберу?","Передатчик, понял. Что с ним делать, когда заберу?"
C,,Fly,You're gonna need to install it on the warden's computer. Have you ever installed anything before?,Тобі треба буде встановити його на комп'ютер начальника. Ти колись щось встановлював?,Тебе нужно будет установить его на компьютер начальника. Ты когда-нибудь что-то устанавливал?
C,,Hook,I installed MacKeeper once.,Якось встановив MacKeeper.,Однажды установил MacKeeper.
C,,Fly,"Nevermind, it should be plug&play anyways. Just plug it into the USB, should work. But now here's the tricky part: I'm gonna need a cell phone so I can access the transmitter.","Неважливо, він все одно має працювати автоматично (Plug & Play). Просто встав в USB, має запрацювати. Але ось складний момент: мені знадобиться мобільний телефон, щоб підключитися до передавача.","Неважно, он все равно должен работать автоматически (Plug & Play). Просто вставь в USB, должно заработать. Но вот сложный момент: мне понадобится мобильный телефон, чтобы подключиться к передатчику."
C,,Hook,"Hm, it's gonna be difficult getting one of these in here. They frisked me at the entrance.","Хм, буде важко пронести його сюди. Мене обшукали на вході.","Хм, будет сложно пронести его сюда. Меня обыскали на входе."
C,,Fly,"Yeah, they'll take the transmitter, too. You'll have to find another way in. And then you'll need to find a way to get me that cell phone.","Так, передавач вони теж заберуть. Тобі доведеться знайти інший шлях всередину. А потім знайти спосіб передати мені телефон.","Да, передатчик они тоже заберут. Тебе придется найти другой путь внутрь. А потом найти способ передать мне телефон."
C,,Hook,"OK, got it. Anything else? ","Гаразд, зрозумів. Ще щось?","Ладно, понял. Еще что-то?"
C,,Fly,"Phew ... I mean, it's gonna be hell walking around without being seen. ","Хух... Ну, ходити тут непоміченим буде справжнім пеклом.","Фух... Ну, ходить тут незамеченным будет сущим адом."
C,,Hook,How big is the guard staff here?,Наскільки великий тут штат охорони?,Насколько большой тут штат охраны?
C,,Fly,What do you mean?,Що ти маєш на увазі?,Что ты имеешь в виду?
C,,Hook,Does everyone know each other? Do you think I'd be able to move around freely if I was dressed up as a guard?,"Вони всі знають одне одного? Думаєш, я зможу вільно пересуватися, якщо переодягнуся охоронцем?","Они все знают друг друга? Думаешь, я смогу свободно передвигаться, если переоденусь охранником?"
C,,Fly,"You could try. Would certainly make things easier once you get upstairs. If you ever get upstairs... you'll need a code for the elevator. But don't worry, I can take care of the code for you. You'll be hearing from me. ","Можеш спробувати. Це точно спростить справу, коли потрапиш нагору. Якщо ти взагалі туди потрапиш... тобі знадобиться код від ліфта. Але не хвилюйся, код я беру на себе. Я дам знати.","Можешь попробовать. Это точно упростит дело, когда попадешь наверх. Если ты вообще туда попадешь... тебе понадобится код от лифта. Но не волнуйся, код я беру на себя. Я дам знать."
C,,Hook,Sounds good. Anything else?,Звучить непогано. Щось ще?,Звучит неплохо. Что-то еще?
C,,Fly,Yeah... good luck!,Так... удачі!,Да... удачи!
C,,Hook,"Thanks, kid. But I don't believe in luck. ","Дякую, малий. Але я не вірю в удачу.","Спасибо, пацан. Но я не верю в удачу."
C,,,"Without another word, you get up and leave. Cross off B4. Return to location 05.",Без зайвих слів ви встаєте і йдете. Викресліть B4. Поверніться до локації 05.,"Не говоря ни слова, вы встаете и уходите. Вычеркните B4. Вернитесь в локацию 05."
D,,,"The girl is fixated on her phone, which you don't understand because the only app you're aware of is the video of a snake running into walls over and over again. You don't get kids-they make you nervous. Unsure how to get her attention, you nudge the girl with your foot.","Дівчина не зводить очей з телефона. Тобі цього не зрозуміти, бо єдиний додаток, про який ти знаєш — це відео, де змія постійно врізається в стіни. Ти не розумієш дітей — вони тебе нервують. Не знаючи, як привернути увагу, ти легенько штовхаєш дівчину ногою.","Девочка не сводит глаз с телефона. Тебе этого не понять, ведь единственное приложение, о котором ты знаешь — это видео, где змея раз за разом врезается в стены. Ты не понимаешь детей — они тебя нервируют. Не зная, как привлечь внимание, ты легонько толкаешь девочку ногой."
D,,Girl,"HEY, WHAT IS YOUR PROBLEM? ","ГЕЙ, В ЧОМУ ТВОЯ ПРОБЛЕМА?","ЭЙ, В ЧЕМ ТВОЯ ПРОБЛЕМА?"
D,,Hook,"Hi, little girl. I'm Hook, what's your name? ","Привіт, дівчинко. Я Гак, а як тебе звати?","Привет, девочка. Я Хук, а как тебя зовут?"
D,,Girl,You can't kick me! I'm the warden's daughter! And get your hand out of my face.,Ти не маєш права мене копати! Я донька начальника в'язниці! І прибери руку від мого обличчя.,Ты не можешь меня пинать! Я дочь начальника тюрьмы! И убери руку от моего лица.
D,,Hook,Right.,Ясно.,Ясно.
D,,Girl,"Just-leave me alone, OK? ","Просто дай мені спокій, гаразд?","Просто оставь меня в покое, ладно?"
D,,,"In a desperate attempt to connect with her, you bring up the only thing you know about children.","У відчайдушній спробі знайти з нею спільну мову, ти згадуєш єдине, що знаєш про дітей.","В отчаянной попытке найти с ней общий язык, ты вспоминаешь единственное, что знаешь о детях."
D,,Hook,"Ahum ... So, diapers, right? ","Кхм... Отже, підгузки, так?","Кхм... Значит, подгузники, да?"
D,,Girl,"What diapers?! Dude, I'm nine! ","Які підгузки?! Чувак, мені дев'ять!","Какие подгузники?! Чувак, мне девять!"
D,,Hook,"OK, OK, sorry... What are you watching on your cell phone? A movie? ","Гаразд, гаразд, вибач... Що ти там дивишся на телефоні? Фільм?","Ладно, ладно, извини... Что ты там смотришь на телефоне? Фильм?"
D,,Girl,Fortnite.,Фортнайт.,Фортнайт.
D,,Hook,"Oh, is that like Minesweeper? I'm really good at that. ","О, це типу ""Сапера""? Я в цьому справжній профі.","О, это типа ""Сапера""? Я в этом настоящий профи."
D,,Girl,"Dude, I dunno. Can you just get lost? ","Чувак, я без поняття. Ти можеш просто звалити?","Чувак, я без понятия. Ты можешь просто свалить?"
D,,Hook,"Yeah, definitely. So, you don't happen to know your dad's four favorite numbers, do you? ","Так, безумовно. Слухай, а ти випадково не знаєш чотири улюблені цифри твого тата?","Да, конечно. Слушай, а ты случайно не знаешь четыре любимые цифры твоего папы?"
D,,Girl,Hm?,Га?,А?
D,,Hook,"Or, um, say I wanted to get your dad a present for his birthday. When would that be? ","Або, скажімо, я хотів би зробити твоєму татові подарунок на день народження. Коли це буде?","Или, скажем, я хотел бы сделать твоему папе подарок на день рождения. Когда это будет?"
D,,Girl,"Wha? I don't know, ask him. ","Що? Я не знаю, спитай у нього.","Чего? Я не знаю, спроси у него."
D,,Hook,I'd also take his PIN code or the last four digits of his SSN.,Я б також не відмовився від його PIN-коду або останніх чотирьох цифр соцстрахування.,Я бы также не отказался от его ПИН-кода или последних четырех цифр номера страховки.
D,,Girl,Can you just shut up for a sec? I'm kind of in the middle of something.,Ти можеш просто стулити пельку на секунду? Я тут взагалі-то зайнята.,Ты можешь просто заткнуться на секунду? Я тут вообще-то занята.
D,,Hook,"Yeah, sure, take your time ... Oh, hey, one more thing though: I really need to call my divorce attorney. Think I could have your phone for just a sec? It's local, I promise. ","Так, звісно, не поспішай... О, слухай, ще одне: мені конче треба подзвонити моєму адвокату з розлучень. Можеш дати телефон на секундочку? Це місцевий дзвінок, обіцяю.","Да, конечно, не торопись... О, слушай, еще одно: мне срочно нужно позвонить моему адвокату по разводам. Можешь дать телефон на секундочку? Это местный звонок, обещаю."
D,,Girl,"What? No, go away. I ain't giving you my phone ... creep. ","Що? Ні, йди геть. Я не дам тобі свій телефон... маніяк.","Что? Нет, уходи. Я не дам тебе свой телефон... извращенец."
D,,Hook,It's urgent though! We're supposed to play pool later.,Але це терміново! Ми мали пізніше грати в більярд.,Но это срочно! Мы должны были позже играть в бильярд.
D,,Girl,Whatever.,Та байдуже.,Да пофиг.
D,,Hook,"Alright, yeah, got it. I'll just, like, send him one of those electronic e-mails or something. ","Гаразд, так, зрозумів. Я просто, типу, надішлю йому одного з цих електронних імейлів чи щось таке.","Ладно, да, понял. Я просто, типа, отправлю ему один из этих электронных е-мейлов или что-то такое."
D,,,Return to location 06.,Поверніться до локації 06.,Вернитесь в локацию 06.
D,B7,Hook,"Hello again, little girl. Look what I got you! ","Знову привіт, мала. Дивись, що я тобі приніс!","Снова привет, малая. Смотри, что я тебе принес!"
D,B7,Girl,What is that?,Що це?,Что это?
D,B7,Hook,"It's a snow globe. You shake it and you can watch the snowflakes fall. Here, you can have it. As a birthday present. ","Це снігова куля. Трясеш її, і дивишся, як падають сніжинки. Ось, тримай. Це подарунок на день народження.","Это снежный шар. Трясешь его, и смотришь, как падают снежинки. Вот, держи. Это подарок на день рождения."
D,B7,,Remove card #19 from the game.,Видаліть карту №19 з гри.,Удалите карту №19 из игры.
D,B7,Girl,"Dude, my birthday was, like, last Sunday. ","Чувак, у мене день народження був, типу, минулої неділі.","Чувак, у меня день рождения был, типа, в прошлое воскресенье."
D,B7,Hook,"Yeah, well, happy belated birthday then, right? ","Ага, ну, тоді з минулим днем народження, так?","Ага, ну, тогда с прошедшим днем рождения, да?"
D,B7,Girl,"OK, thanks ... I guess. ","Гаразд, дякую... мабуть.","Ладно, спасибо... наверное."
D,B7,Hook,"So, now that you have a really cool new toy, maybe you could do something for uncle Hook now? ","Отже, тепер, коли у тебе є така класна нова іграшка, може, зробиш дещо для дядечка Гака?","Итак, теперь, когда у тебя есть такая классная новая игрушка, может, сделаешь кое-что для дядюшки Хука?"
D,B7,Girl,"Dude, I don't want your stupid shit. Go away. ","Чувак, мені не потрібне твоє дурне лайно. Відвали.","Чувак, мне не нужно твое тупое дерьмо. Отвали."
D,B7,Hook,But... your phone,Але... твій телефон...,Но... твой телефон...
D,B7,Girl,You're blocking the light.,Ти затуляєш світло.,Ты загораживаешь свет.
D,B7,Hook,"OK, sorry. Hear any good numbers lately? ","Гаразд, вибач. Чула якісь гарні цифри останнім часом?","Ладно, извини. Слышала какие-нибудь хорошие цифры в последнее время?"
D,B7,Girl,"Dude, if you don't shut up I'm gonna call a guard and they'll put you upstairs with all the nut jobs, OK? So get out of my face. ","Чувак, якщо ти не стулиш пельку, я покличу охорону, і тебе посадять нагору до психів, зрозумів? Тож зникни з очей.","Чувак, если ты не заткнешься, я позову охрану, и тебя посадят наверху к психам, понял? Так что исчезни с глаз."
D,B7,Hook,"Yup, got it. Bye. ","Так, зрозумів. Бувай.","Ага, понял. Пока."
D,B7,,Return to location 06 and read t9t4 there.,Поверніться до локації 06 та прочитайте там t9t4.,Вернитесь в локацию 06 и прочитайте там t9t4.
D,C7,Hook,"See, I have a phone too! Cool, huh? ","Дивись, у мене теж є телефон! Круто, га?","Смотри, у меня тоже есть телефон! Круто, да?"
D,C7,Girl,Er ... whatever. What's with the balloon?,Е-е... байдуже. А що це за кулька?,Э-э... да пофиг. А что это за шарик?
D,C7,Hook,"It's new technology, makes it even lighter. Wanna trade for your stupid old phone? ","Це новітня технологія, робить його ще легшим. Хочеш обміняю на твій дурний старий телефон?","Это новейшая технология, делает его еще легче. Хочешь, обменяю на твой дурацкий старый телефон?"
D,C7,Girl,Er ... no thanks.,"Е-е... ні, дякую.","Э-э... нет, спасибо."
D,C7,,Return to location 06.,Поверніться до локації 06.,Вернитесь в локацию 06.
D,D7,Hook,"Hey, little girl, what do you think of this uniform? Pretty cool, right? ","Гей, мала, як тобі ця форма? Крута, еге ж?","Эй, малая, как тебе эта форма? Круто, а?"
D,D7,Girl,It's OK.,Нормально.,Нормально.
D,D7,Hook,I'll trade you. For your cell phone.,Давай мінятися. На твій телефон.,Давай меняться. На твой телефон.
D,D7,Girl,"Are you serious? Why would I give you my phone, creep?! ","Ти серйозно? З якого дива я маю віддавати тобі телефон, збоченець?!","Ты серьезно? С чего бы мне отдавать тебе свой телефон, извращенец?!"
D,D7,Hook,(Rats.),(Дідько.),(Черт.)
D,D7,,Return to location 06.,Поверніться до локації 06.,Вернитесь в локацию 06.
E,,Hook,I heard you play.,Я чув ваш виступ.,"Я слышал, как вы играли."
E,,Alice,Oh? You're a jazz fan then?,О? То ви фанат джазу?,О? Так вы фанат джаза?
E,,Hook,My dad loved it. Me-not so much.,Мій батько його обожнював. А я — не дуже.,Мой отец его обожал. Я — не особо.
E,,Alice,"Yeah, I know what you mean Business is not going great. We had our last big album release two years ago. ","Так, розумію. Справи йдуть кепсько. Наш останній великий альбом вийшов два роки тому.","Да, понимаю. Дела идут так себе. Наш последний крупный альбом вышел два года назад."
E,,Hook,How much did you sell?,І скільки ви продали?,И сколько вы продали?
E,,Alice,"Oh, just the house and the car. ","О, всього лише будинок і машину.","О, всего лишь дом и машину."
E,,Hook,Oh...,Оу...,Оу...
E,,Alice,"Just kidding. It's fine, actually. Some people have it worse. ",Жартую. Насправді все гаразд. Буває й гірше.,Шучу. На самом деле всё нормально. Бывает и хуже.
E,,Hook,"Yeah, I think I read about that in the papers. ","Так, здається, я читав про це в газетах.","Да, кажется, я читал об этом в газетах."
E,,Alice,"Oh, ha ha, very funny. I'm not doing this for the money you know. ","Ха-ха, дуже смішно. Знаєш, я займаюся цим не заради грошей.","Ха-ха, очень смешно. Знаешь, я занимаюсь этим не ради денег."
E,,,A drunk man starts peeing against the wall next to Alice.,П'яний чоловік починає дзюрчати на стіну поруч з Алісою.,Пьяный мужик начинает мочиться на стену рядом с Алисой.
E,,Hook,You just like the class and glamour of it all.,Тобі просто до вподоби весь цей шик і гламур.,Тебе просто нравится весь этот шик и гламур.
E,,Alice,Still better than working as an accountant.,"Все одно краще, ніж працювати бухгалтером.","Всё равно лучше, чем работать бухгалтером."
E,,Hook,"Why do musicians always think they would've become accountants if they didn't pursue music? There's other jobs, you know? You could be a bus driver. Or a hair stylist. ","Чому музиканти завжди думають, що стали б бухгалтерами, якби не займалися музикою? Є й інші професії, знаєш? Ти могла б бути водієм автобуса. Або перукарем.","Почему музыканты всегда думают, что стали бы бухгалтерами, если бы не музыка? Есть же и другие профессии, знаешь ли. Ты могла бы быть водителем автобуса. Или парикмахером."
E,,Alice,"Ha, well, thanks for thinking so highly of me. I actually had the highest degree ever at my university. And look where it got me. But I'm only talking about myself again, sorry. I'm Alice. ","Ха, дякую за таку високу думку про мене. Взагалі-то, у мене був найвищий бал в університеті. І подивись, куди це мене привело. Але я знову говорю лише про себе, вибач. Я Аліса.","Ха, ну спасибо за столь высокое мнение обо мне. Вообще-то, у меня был самый высокий балл в университете. И посмотри, куда меня это привело. Но я опять говорю только о себе, извини. Я Алиса."
E,,Hook,Hook.,Гак.,Хук.
E,,Alice,Hook. So where is Peter Pan?,Гак. То де ж Пітер Пен?,Хук. И где же Питер Пэн?
E,,Hook,He's on vacation in corny joke land.,Він у відпустці в країні бородатих жартів.,Он в отпуске в стране бородатых шуток.
E,,Alice,Sorry. Should've figured you might've heard this one before. And I thought I was being clever.,"Вибач. Варто було здогадатися, що ти вже це чув. А я думала, що це дотепно.","Извини. Надо было догадаться, что ты это уже слышал. А я-то думала, что сострила."
E,,Hook,Not clever enough not to play in shitty clubs like this.,"Недостатньо дотепно, щоб не грати в таких лайнових клубах, як цей.","Недостаточно остроумно, чтобы не играть в таких дерьмовых клубах, как этот."
