Location,Code,Object,Text
13,b6r7,Ржавый ключ + Вешалка,Не на глазах у бармена.
13,b6r9,Ржавый ключ + Кирпич,Бросание предметов в ключ делу не поможет.
13,b6v5,Ржавый ключ + Бутылка,Бросание предметов не поможет.
13,c7j6,Бармен + Кирпич,"Э-э, нет. Не думаю, что у меня есть шансы."
13,c7k0,Бармен + Бутылка,[Вычеркните H7. Перейдите к сцене A.]
13,c7x8,Бармен + Презервативы,"Не думаю, что я в его вкусе."
13,c7x9,Бармен + Чайные пакетики,[Вычеркните H8. Перейдите к сцене A.]
13,d5j6,Музыкальный автомат + Кирпич,Здесь и так уже всё сломано.
13,d5j8,Музыкальный автомат + Магнит,Это никогда не сработает.
13,d5k0,Музыкальный автомат + Бутылка,[Если D9: Читайте d6t9. Иначе:] Бутылка пуста.
13,d6t9,Музыкальный автомат + Бутылка,"Да, хорошая идея, но он даже не включен."
13,e3h3,Ржавый ключ + Ржавый ключ,"Кажется, у меня приступ дежавю... [Режим Матрицы.]"
13,e3i0,Осмотреть Ржавый ключ,Не достать.
13,e3t0,Ржавый ключ + Зубная нить,Заарканить ключ? Это никогда не сработает.
13,h9d5,Осмотреть Бутылку,Пустая пластиковая бутылка. [Вычеркните C8. Возьмите карту №07.]
13,k1d4,Музыкальный автомат + Монета,"[Верните карту №06. Если E8: Читайте k1m9. Если E3: Читайте k1k7. Иначе: Кажется, автомат даже не включен.]"
13,k1k7,Музыкальный автомат + Монета,"Я только что потратил монету на автомат, который даже не работает? [Вычеркните E8.]"
13,k1m9,Музыкальный автомат + Монета,[Перейдите в локацию 19 и читайте v9z9 там.]
13,k1p5,Осмотреть Музыкальный автомат,играет 37 ремиксов на «Буги-Вуги Экстраваганцу».
13,r8i0,Поговорить с Алисой,[Если B1: Читайте r8k6. Иначе:] Сперва мне нужно стащить её с той сцены.
13,r8k6,Поговорить с Алисой,"Не хочу, чтобы вся группа пялилась на нас, пока я с ней разговариваю."
13,r8v2,Алиса + Коктейль,"Не думаю, что ей разрешено пить на работе."
13,v8b4,Бармен + Мобильный телефон,У меня нет его номера.
13,v8d4,Бармен + Монета,[Вычеркните H6. Перейдите к сцене A.]
13,v8p5,Поговорить с Барменом,[Перейдите к сцене A.]
13,v8r3,Бармен + Коктейль,[Вычеркните H9. Перейдите к сцене A.]
13,x0t2,Алиса + Презервативы,[Возьмите карту №33.]
13,x2m7,Алиса + Бутылка,Это безнадежно. Её надзиратель не сводит с меня глаз.
13,z9v7,Сегодняшняя газета,"Вот марка, которую я отдал вышибале! ОНА СТОИТ СКОЛЬКО?!"
13,z9z3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
13,x0v5,Алиса + Бутылка,[Если D9: Читайте x2m7. Иначе:] Зачем ей пустая бутылка?
14,b0b3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
14,i8i0,Осмотреть Дверь туалета,"[Если B1: Читайте v0b0. Если C4: Читайте i9i5. Если E4: Читайте t8p9. Иначе:] Заперто, естественно."
14,g3j6,Дверь бара + Кирпич,Бармен прямо за этой дверью.
14,g3j8,Дверь бара + Магнит,[Вы маневрируете ключом через окно.] Да! Есть. [Вычеркните F7. Возьмите карту №10.]
14,h8x3,Метла,"Фу, она кишит личинками."
14,t8p9,Войти в туалет,[Перейдите в локацию 15.]
14,i9i5,Войти в туалет,"Нет, моя работа здесь закончена."
14,v0b0,,"(хлюп, хлюп)... «Фу, гадость!» Надо поспешить и стащить Алису со сцены."
14,z7b3,Дверь бара + Поддельная униформа,Я мог бы притвориться копом.
14,z7b5,Дверь бара + Ржавый ключ,"Не та дверь, гений."
14,j9r9,Дверь туалета + Кирпич,Я предпочитаю решать проблемы мозгами.
14,p2h8,Коробки + Магнит,Тут нет магнитных объектов.
14,p8i0,Осмотреть Коробки,Я предпочитаю мыслить «вне коробки» (нестандартно).
14,t8h3,Дверь туалета + Ржавый ключ,"Ага, подходит. [Вычеркните E4. Уберите карту №10.] Фу, что это за вонь? [Перейдите в локацию 15.]"
14,z7p5,Осмотреть Дверь бара,[Если B1: Читайте z7v2. Иначе:] «Только для персонала».
14,z7v2,Войти в Бар,"Конечно, теперь, когда бармена нет. [Перейдите в локацию 13.]"
14,z9z3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
15,b0b3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
15,j7t9,,[Взрыв в унитазе. Патока вытекает наружу. Вычеркните C4. Эта локация теперь заблокирована. Перейдите в локацию 13.]
15,b7v9,Знак,Разве он не должен быть над унитазом?
15,m9z6,,просто... сунь руку в... теплую размокшую овсянку. [Вычеркните H1. Если G9: Читайте j5p0. Иначе: Читайте p0b8.]
15,d2j6,Автомат + Кирпич,Думай! Есть менее жестокий способ получить эти презервативы.
15,e2d4,Автомат + Монета,"[Уберите карту №06. Вычеркните C9. Возьмите карту №11.] Эй, смотри, мне выпала двойная пачка!"
15,k8g6,Мусорка + Монета,[Верните карту №06. Если E8: Читайте k8h6. Если E3: Читайте k8h5. Иначе: Я не собираюсь доставать её оттуда. Вычеркните E3.]
15,k8h6,Мусорка + Монета,[Вычеркните E8.]
15,e2p5,Осмотреть Автомат,"Судя по надписи, они со вкусом табака."
15,g2x0,Свинцовая труба,"Ага, ты идешь со мной. [Возьмите карту №24.]"
15,j5p0,,"Сработало! Я слышу, как вода заполняет трубы. [Читайте j6e2.]"
15,j6e2,,"Ладно, 3, 2, 1... пошла! [Читайте j7t9.]"
15,k8h5,Мусорка + Монета,"Пока, монетка! Я в этом рыться не буду."
15,k8i0,Осмотреть Мусорку,"Фу, нет, спасибо."
15,m9k0,Унитаз + Бутылка,"Фу, ни за что, мне не нужно зачерпывать то, что там есть."
15,m9x8,Унитаз + Презервативы,Придется залезть туда как следует... Сосредоточься на цели. [Читайте m9z6.]
15,z3t2,Осмотреть Унитаз,Кто-то пытался смыть старый банан.
15,z5m1,Граффити,«Что О сказала букве Q?» Странно.
15,z9z3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
15,p0b8,,"[Вы смываете. Ничего не происходит.] Черт, в этой дыре ничего не работает."
15,p0p5,Осмотреть Раковину,[Осмотр раковины.]
16,b0b3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
16,g9x8,Плакат + Презервативы,"На коробке написано ""Соло-опыт"". [Возьмите карту №52.]"
16,m2g1,Разбитые лампочки,"Я вижу. То есть, понимаю. Печально."
16,m7c2,Щиток + Зубная нить,У меня какое-то дежавю. Что со мной не так?
16,m7p5,Осмотреть щиток,"Покончим с этим раз и навсегда. [Вы щелкаете выключателем и оказываетесь в полной темноте. Уберите накладку в этой локации (карта №57) из игры. Мелодия Алисы, звучащая из колонок наверху, обрывается на полуслове. Сбивая пальцы на лестнице, вы на ощупь пробираетесь сквозь темноту и покидаете джаз-клуб. Там вы находите Алису, которая курит сигарету. Перейдите к сцене E.]"
16,p3g8,Стиральная машина + Фальшивая форма,"Не думаю, что это нужно. Она чистая."
16,p3i0,Осмотреть стиральную машину,Эта забита бутылками. Обожаю это место.
16,t1m6,Стиральная машина + Передатчик,"Не думаю, что его нужно стирать."
16,t1r9,Стиральная машина + Кирпич,"Ни за что! Ты хоть видел, что кирпич делает со стиральной машиной? Нет, спасибо!"
16,i1t2,Стиральная машина + Презервативы,Хватит с меня засоров на сегодня.
16,t1v5,Стиральная машина + Бутылка,"Нет, гений, это была не подсказка."
16,i5c2,Темный угол + Зубная нить,"Я даже не вижу, что делаю. Слишком темно."
16,b3j6,Баллоны с гелием + Кирпич,"Не хочу их разбить. Кто знает, что случится?"
16,b3j8,Баллоны с гелием + Магнит,"Ага, они магнитные. Доволен?"
16,b3x8,Баллоны с гелием + Презервативы,"Может, ты и прав. Немного Гелия с собой никому не повредит, а? (писклявым голосом) [Удалите карту №11 из игры. Вычеркните A5. Возьмите карту №13.]"
16,t5p5,Осмотреть темный угол,"Там слишком темно, я ничего не вижу."
16,t5t7,Темный угол + Спички,"[Если K2: Читать t7h8. Если K9: Читать t5x3. Если F2: Читать t5v2. Иначе:] Не выйдет, спички все еще в тюрьме."
16,t5v2,Темный угол + Спички,"Эх, если бы у меня были спички, но я выбросил их в окно и так и не забрал."
16,d0p5,Осмотреть баллоны,"На баллонах написано ""Гелий""."
16,d0t7,Баллоны с гелием + Спички,"Эй, точно, давайте устроим тут гигантский пожар! Надо подойти поближе, чтобы ничего не пропустить. [Вы сваливаете кучу легковоспламеняющихся вещей возле баллонов.] Посмотрим, что будет, если я зажгу спичку... [Спасибо, что играли в Cantaloop. Надеемся, вы отлично провели время и порекомендуете нас всем друзьям. Мы хотим поблагодарить Рона Гилберта, Оптимуса Прайма из вторых ""Трансформеров"" и Боно. Эта книга самоуничтожится через 30 секунд.]"
16,x2p5,Осмотреть плакат,Почему меня это не удивляет?
16,g9h7,Плакат + Чертежи,"Это не ""Побег из Шоушенка""! Тут нет дыры! (Нашим юристам понадобилось немало времени, чтобы согласовать эту формулировку)."
16,g9j8,Плакат + Магнит,Тебя тянет к плакату. Хотя это магнетизм иного рода.
16,z9z3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
16,i5x3,Темный угол + Спички,Спички слишком мокрые. Так ничего не выйдет.
16,t7h8,Темный угол + Спички,"Ладно, посмотрим, что тут прячется. У меня осталось всего три спички, надеюсь, хватит. [Первая спичка ломается пополам.] Черт. Может, эта? [Вторая вспыхивает и почти сразу гаснет.] Проклятье. Надеюсь, последняя сработает. [Удалите карту №26 из игры. Положите карту №37 в эту локацию. Вычеркните J6.] Вот так. Сделаем это."
17,b0b3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
17,e9g4,Осмотреть пса,Выглядит дружелюбно. Но жизнь я бы на это не поставил.
17,f2h8,Пес + Магнит,"Не думаю, что его привлекает мой магнит."
17,f2i0,Осмотреть пса,Этот пес огромный! Я ни за что не пройду мимо него.
17,f2j8,Пес + Кирпич,"Я вор, а не живодер."
17,f2k7,Пес + Свинцовая труба,Я не буду драться с этим зверем.
17,f2m7,Пес + Одежда,"Не думаю, что ему интересно мое чувство стиля."
17,f2s0,Пес + Зубная нить,Я не буду чистить ему зубы нитью.
17,h0b0,Дверь,[Если J3: Читать h0b2. Иначе:] Заперто.
17,h0b2,Войти в дом священника,[Перейдите в локацию 18.]
17,i8p5,Осмотреть статуи,"Выглядят так, будто видали времена получше."
17,j1i0,Осмотреть будку,Выглядит как очень удобная будка. Для медведя.
17,j1m4,Будка + Спички,Я не собираюсь поджигать его дом.
17,k1i0,Осмотреть могилу,Здесь покоится... бла-бла-бла.
17,m2b3,Дом священника,Выглядит уютно. Если игнорировать гигантского пса и кладбище.
17,z9z3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
18,d1h3,Выключатель + Зубная нить,"[Вы щелкаете выключателем и привязываете его зубной нитью. На улице включается свет. Вы закрываете щиток. Уберите накладку в этой локации (карта №35) из игры. Вычеркните C2.] Ладно, валим отсюда, пока это не стало проблемой. [Найдите способ покинуть квартиру.]"
18,d1p5,Осмотреть выключатель,"Выключатель автоматически отскакивает назад. Черт, и что теперь?"
18,d4b7,Косметика,"""Eau de Toilette"", ""Fleur du Male""... Тут еще есть номер горячей линии, и... эй, а это что? [Вычеркните A8. Возьмите карту №02.]"
18,g0r9,Зеркало + Кирпич,"Та женщина не выпустит меня, если я разобью ее зеркало!"
18,g2h8,Щиток + Магнит,"Мне не нужен магнит, чтобы открыть щиток."
18,g2r9,Щиток + Кирпич,"Я должен его починить, а не сломать."
18,j2j6,Выключатель + Кирпич,Кирпич не удержит этот переключатель.
18,j2j8,Выключатель + Магнит,Потому что наука!?
18,b8z9,Резиновая утка + Вешалка,"Тоже неплохая идея, но она слишком скользкая... и все еще мокрая, так что не думаю, что это спасет меня от удара током."
18,j2z9,Выключатель + Вешалка,"Хорошая идея, но боюсь, что меня ударит током, если я попробую."
18,x5i0,Осмотреть щиток,"Так близко к душу?! Разве это не нарушение техники безопасности? Фух... Ну, если это единственный выход, посмотрим, что я могу сделать. [Вычеркните J7. Положите карту №35 в эту локацию.]"
18,b9z6,Дверь,"[Если C2: Читать c0b9. Если C3: Читать c0b1. Иначе:] Я не уйду, пока не найду передатчик и не решу проблему дамы с электричеством."
18,x5k1,Одежда,"Интересно, заметит ли она, если они пропадут. С другой стороны, куда она пожалуется? В ""Хлюп и Плюх""? Договорились. Я их забираю. [Вычеркните A6. Возьмите карту №04.]"
18,c0b1,Дверь,[Перейдите к сцене F.]
18,c0b9,Дверь,"[Если A6: Читать c0c3. Иначе:] Наверное, стоит осмотреться получше; другого шанса у меня не будет."
18,z1i0,Дверь,[Вычеркните K6. Перейдите к сцене F.]
18,c0c3,Выключатель + Мобильный телефон,"Сзади есть номер. Посмотрим... [Служба поддержки отвечает, и вы объясняете ситуацию.] ... Бракованная модель, говорите? И ничего нельзя сделать? ... Понятно, что ж, спасибо. [Вы вешаете трубку] Черт. Придется как-то это починить, хотя бы временно."
18,d1b4,Осмотреть утку,"Как называют утку, которая ворует? ... Утка-ворюга. Спасибо, спасибо, я здесь выступаю весь вечер."
18,z4p5,Осмотреть зеркало,"Эй, тут есть небольшое углубление... Ну-ка. [Вы нажимаете, и зеркало распахивается, открывая тайник. Вычеркните C3. Возьмите карту №03.] Вот он. А теперь посмотрим, как отсюда выбраться."
18,d1c2,Выключатель + Зубная нить,"[Если C3: Читать d1h3. Иначе:] Хорошая идея, но не раньше, чем я найду тот передатчик."
18,z9z3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
19,b0b3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
19,e0c1,Табличка,"Судя по табличке, до вершины 194 ступеньки."
19,m6j8,Святая вода + Магнит,Случайный факт: удары головой об стену сжигают 150 калорий.
19,m6v5,Святая вода + Бутылка,[Вычеркните D9.]
19,m6b6,Святая вода + Одежда,[Если D5: Читать m6d2. Если H4: Читать m6c4. Если H3: Читать m6b8. Иначе:] Она и так чистая.
19,m6b8,Святая вода + Одежда,Я покрашу рубашку. [Вычеркните D4.] Теперь она светло-желтая.
19,m6c4,Святая вода + Одежда,"Желтый чай и синий цветок сделали святую воду зеленой. Может, окунуть туда штаны? [Вычеркните D5.] Отлично! Теперь они темно-зеленые. [Если D6: Читать m6c6. Иначе:] Теперь не хватает только одной маленькой детали."
19,m6c6,,"Думаю, лучше уже не будет. [Удалите карту №04 из игры. Возьмите карту №22.]"
19,m6d2,Святая вода + Одежда,"Думаю, эта одежда теперь правильного цвета."
19,m6d4,Святая вода + Монета,"Если бы я мог загадать любое желание, я бы пожелал, чтобы ты перестал делать глупости."
19,m6m9,Осмотреть святую воду,Святая вода окрашена в зеленый цвет.
19,m6p5,Осмотреть святую воду,[Если H4: Читать m6m9. Если H3: Читать m6r1. Иначе:] Свеженабранная.
19,m6r1,Осмотреть святую воду,Святая вода окрашена в желтый цвет.
19,m6r3,Святая вода + Коктейль,[Если D4: Читать m6v2. Если H3: Читать m6t0. Иначе:] Я не хочу красить воду в синий цвет.
19,m6t0,Святая вода + Коктейль,Зачем мне это делать?
19,m6v2,Святая вода + Коктейль,"Хм, сомневаюсь, что коктейля хватит, но у этого цветка насыщенный цвет... Может, я смогу использовать это в своих интересах. Брошу его туда. [Вычеркните H4.] Вот, синий смешивается с желтым чаем."
19,v9z9,,"Не твори глупостей лишь ради того, чтобы испытать границы настольной игры. [Возьмите карту №29.]"
19,x4z2,Ящик для пожертвований,"[Если E8: Читать x5p9. Если E3: Читать x5b3. Иначе:] Тут можно купить свечи. Не думаю, что кто-то заметит пропажу одной монеты. [Вычеркните F5. Возьмите карту №06.]"
19,x5b3,Ящик для пожертвований,"Конечно, возьмем еще одну монету. Хотя стоило бы найти лучшее место, чтобы ее потратить. [Возьмите карту №06.]"
19,x5p9,Ящик для пожертвований,"Ладно, хватит баловаться. Мне действительно нужно найти им хорошее применение. [Возьмите карту №06.]"
19,z9z3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
20,b0b3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
20,i0t8,Вид + Летающий телефон,Ветер здесь слишком сильный. Он может приземлиться черт знает где.
20,k1v6,Магнит,"Хм, да, это может быть полезно. Не знаю точно для чего, но никогда не знаешь наверняка. [Вычеркните C6. Возьмите карту №15.]"
20,k6e5,Вид + Передатчик,"Он довольно прочный, так что может даже пережить падение, но что, если кто-то его найдет? Не думаю, что у Мухи завалялся еще один."
20,k6h7,Вид + Чертежи,"Да, вон там внизу территория позади тюрьмы. Согласно планам, это единственное окно наружу, которое не находится под постоянным наблюдением."
20,k6h9,Вид + Воздушный шар,Звучит одновременно весело и как плохая идея.
20,k6j6,Вид + Кирпич,"[Если A9: Читать k6k5. Иначе:] Ого. Это то, чем ты занимаешься в повседневной жизни: бросаешь кирпичи с церковных башен? Твоя мама знает, что ты в это играешь?"
20,k6k5,Вид + Кирпич,"Да, знаешь, может, я и не найду этому применения, но по крайней мере собью пару голубей по пути к моему фургону. [Вы привязываете один конец зубной нити к перилам. Затем тщательно прицеливаетесь и бросаете кирпич на крышу тюрьмы внизу. Вычеркните K5. Удалите карту №05 из игры. Положите карту №34 в эту локацию.]"
20,z2h8,Перила + Магнит,"Похоже, перила не магнитные. Наверное, поэтому я и не нашел на них прилепленного магнита сразу."
20,z2r9,Перила + Кирпич,[Если A9: Читать z3h4. Иначе:] Смотри! Я могу удержать кирпич на пери... АЙ! Тупая штука упала мне на ногу.
20,z3h4,Перила + Кирпич,Дай подумать... Если я привяжу один конец зубной нити к перилам... я мог бы... хм...
20,z5m9,,"Знаете, я думаю, мне придется найти другой способ доставить мобильный внутрь... А что, если мне снова позвонят, а я не смогу ответить? Да, подержу его при себе еще немного. Ладно, поехали, готовы? Надеюсь, черт возьми, это сработает, и я не включу никакую сигнализацию. [Вы отпускаете форму, и она несется к тюрьме с бешеной скоростью. Верните карту №22 в колоду.] Фух, кажется, все хорошо. Пойдем проверим. [Перейдите в локацию 04 и прочитайте там r0k9.]"
20,z7v1,Зиплайн + Фальшивая форма,"Ну, что скажете? Держит! Хмм... Интересно, выдержит ли он чуть больший вес... [Вы кладете передатчик в карман.] Линия держит. Верните карту №03 в колоду.] Отлично. Главное не забыть забрать это позже. Так, а где мой телефон? [Доставая мобильный, вы замечаете, что на нем мигает индикатор.] Ха, говорит, что я пропустил звонок. Посмотрим, что там. [Вычеркните B9. Ваш телефон пиликает. Перейдите к сцене H.]"
20,z9b3,Зиплайн + Фальшивая форма,"[Если E6: Читать z7v1. Иначе:] Хорошая идея, но не думаю, что так получится. Что, если она упадет? Что, если застрянет на полпути? Надо подумать получше."
20,z9b6,Зиплайн + Одежда,"Я мог бы сушить их здесь, если они когда-нибудь намокнут."
20,z9p5,Осмотреть зиплайн,Его практически не видно в ночном свете.
20,z9b4,Зиплайн + Мобильный телефон,"Слишком рискованно. Что, если он разобьется? Нет, придется найти более безопасный путь."
20,z9z3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
20,b4i0,Осмотреть перила,Высший вызов для скейтбордиста.
20,b4t0,Перила + Зубная нить,На самом деле это очень хорошая идея. Но бросить ее будет сложно...
20,d8j4,Осмотреть кирпич,"Да, этот кирпич шатается. Ну, после 15 минут расшатывания — точно шатается. [Вычеркните A7. Возьмите карту №05.]"
20,i0b3,Вид + Фальшивая форма,"Неплохая идея, но даже малейший порыв ветра испортит этот план."
20,i0b4,Вид + Мобильный телефон,"Получилось бы хорошее фото. Надо позвонить Майку, может, у него есть одна из тех фотокамер."
20,i0c2,Вид + Зубная нить,"Ты когда-нибудь пробовал бросать зубную нить, Паучок? Она не совсем для этого создана."
20,i0d4,Вид + Монета,"В прошлый раз, когда я бросил монету с небоскреба, я убил кота. Я имею в виду, это случилось через несколько месяцев, но все же. [Вы все равно бросаете монету. Верните карту №06 в колоду. Внизу вы слышите вой собаки.] Ой, наверное, попал в сторожевого пса. [Если E8: Читать i0e8. Если E3: Читать i0d9. Иначе:] Я же говорил, у меня талант калечить животных, бросая монеты сверху. Кстати, мне, наверное, нужна была та монета... [Вычеркните E3.]"
20,i0d9,Вид + Монета,"Жаль, пес не вернет мне монету. У меня предчувствие, что она могла понадобиться мне позже. [Вычеркните E8.]"
20,i0e8,Вид + Монета,[Перейдите в локацию 19 и прочитайте там v9z9.]
20,i0p5,Осмотреть вид,Красивый вид.
0,h5t0,Вешалка + Зубная нить,"Пока ты там мастеришь мобили для детских кроваток, я тут попытаюсь собрать команду, ладно?"
0,h7b3,Мобильный телефон + Фальшивая форма,"Я мог бы его туда положить, но он может выпасть. А я не хочу пропустить звонок."
0,h7p5,Использовать мобильный телефон,Кому позвонишь? (Охотникам за привидениями?)
0,i2b4,Монета + Мобильный телефон,"Я мог бы так добраться до батареи, но мне это не нужно."
0,i2p5,Использовать монету,"Орел или решка? [Вы подбрасываете монету.] Орел, я так и знал! [А чего вы ожидали?]"
0,i2z2,Монета + Магнитная карта,"Чувак, это ключ-карта, а не лотерейный билет, который надо стирать."
0,i3b1,Зубная нить + Игрушечный значок,У значка есть зажим — не надо его никуда пришивать.
0,i3c4,Монета,Эта 1922 года.
0,i3e5,Зубная нить + Передатчик,"Дамы и господа, позвольте представить: худшее йо-йо в мире."
0,i3g4,Зубная нить + Коробка хлопьев,"Ага, держу пари, личинки внутри с удовольствием бы ее слопали."
0,i3h7,Зубная нить + Чертежи,Зубная нить отлично держит чертежи вместе.
0,i3h9,Зубная нить + Воздушный шар,"Да, это работает, но что мне повесить на другой конец зубной нити?"
0,i3i1,Зубная нить + Свинцовая труба,"Не, я сейчас не в настроении для научных экспериментов. К тому же, я все равно не знал бы, что делаю."
0,i3j6,Зубная нить + Кирпич,"Хмм... Если я обвяжу это вокруг того и сделаю узел... Ладно. Теперь это кирпич, обмотанный зубной нитью. МакГайвер бы гордился. [Вычеркните A9.]"
0,i3j8,Зубная нить + Магнит,"Не, магнит слишком тяжелый, она сразу порвется."
0,i3k0,Зубная нить + Бутылка,Мне не нужно размахивать этой бутылкой.
0,i3x9,Зубная нить + Чайные пакетики,Чайные пакетики уже с ниточками.
0,i5b3,Зубная нить + Фальшивая форма,"Посмотрим... Нет, дырок, которые нужно зашить, нет."
0,i5b4,Зубная нить + Мобильный телефон,"Я мог бы использовать зубную нить, чтобы привязать свой телефон к... да, к чему?"
0,i5b6,Зубная нить + Одежда,"[Если J5: Читать i5c9. Иначе:] Посмотрим... Нет, дырок, которые нужно зашить, нет."
0,i5c9,Зубная нить + Одежда,"[Вы ищете что-то в своем рюкзаке.] А, вот оно! [Вы находите кусок проволоки, который привязываете к зубной нити.] Теперь я могу зашить ту дырку, которую сам сделал."
0,i5d4,Зубная нить + Монета,"О да, отлично! Это значит, что я мог бы использовать монету в автомате, а потом вытащить ее обратно... вот только в реальном мире это не работает."
0,i5r3,Зубная нить + Коктейль,Смотри! Теперь у меня синяя зубная нить. Гадость.
0,i5t7,Зубная нить + Спички,"Граната пошла! ... Ой, забыл, в этой игре нет взрывчатки."
0,i5t8,Зубная нить + Летающий телефон,"Не, думаю, оно и так будет нормально держаться."
0,i5x7,Монета,Эта 1904 года.
0,i5z2,Зубная нить + Магнитная карта,Не сработает — в карте нет отверстия.
0,i6e3,Магнит + Игрушечный значок,Значок сделан из пластика.
0,i6x4,Магнит + Свинцовая труба,"Эх, если бы у меня был магнит поменьше, я мог бы смотреть, как он вечность падает сквозь нее."
0,i7e8,Передатчик + Летающий телефон,Эм... нет.
0,i7g2,Передатчик + Мобильный телефон,Передатчик не подключается к моему телефону.
0,i7g6,Передатчик + Монета,"Я не хочу его открывать; а что, если я его сломаю?"
0,i7g8,Передатчик + Фальшивая форма,"[Если A3: Читать i7h7. Иначе:] Хм, да, думаю, если мне удастся как-то пронести форму, я смогу пронести и передатчик таким образом. Подумаем об этом, когда придет время."
0,i7h7,Передатчик + Фальшивая форма,"Я не буду класть передатчик обратно; он именно там, где мне нужно."
0,i7i0,Использовать передатчик,"Не спрашивайте меня; я понятия не имею, как пользоваться этими штуками."
0,i7m7,Передатчик + Одежда,Запомни эту мысль...
0,j0x4,Чертежи + Свинцовая труба,На чертежах нет водопровода.
0,j1p5,Использовать фальшивую форму,"[Если D7: Читать j1r0. Иначе:] Я мог бы это надеть, но не здесь."
0,j1r0,Осмотреть фальшивую форму,"Ага, передатчик все еще здесь. Заберу его. [Вычеркните A3. Возьмите карту №03.] Теперь найдем хорошее место, чтобы переодеться."
0,j1t7,Фальшивая форма + Спички,"Да ладно, все не так плохо."
0,j4c1,Чайные пакетики + Коробка хлопьев,"Что, у нас завтрак?"
0,j5g8,Воздушный шар + Фальшивая форма,Форма слишком тяжелая.
0,j5j0,Воздушный шар + Спички,"[Если F1: Читать j6v8. Иначе:] Можно было бы, но они еще мокрые."
0,j6v8,Воздушный шар + Спички,"[Вы зажигаете спичку...] Упс. Кажется, мне бы это пригодилось. [Поздравляем! Вы только что проиграли игру...]"
0,j7t8,Бутылка,Наполнена до краев святой водой.
0,j8v8,Отвертка + Снежный шар,Мне нравится этот снежный шар. Я не хочу его разбивать.
0,k0x6,Фальшивая форма,Теперь она на вешалке.
0,k3c7,Кирпич + Чертежи,"Я могу использовать этот кирпич, чтобы прижать чертежи. Захватывающе."
0,k3t6,Кирпич + Воздушный шар,"Почти поэтично, не так ли?"
0,k3v5,Кирпич + Бутылка,[Если A9: Читать k4b8. Если D9: Читать k3z2. Иначе:] Зачем разбивать вполне нормальную бутылку?
0,k3z2,Кирпич + Бутылка,Это кирпич; он чище не станет. Он практически сделан из грязи.
0,k4b8,Кирпич + Бутылка,Зачем мне привязывать бутылку к кирпичу?
0,k4j8,Монета + Магнит,Это подтверждает мое подозрение: монеты действительно магнитятся. Ого! [Возьмите карту №59.]
0,k5b1,Одежда + Игрушечный значок,"[Если J9: Читать k5b8. Иначе:] Если прицепить значок на эту одежду, никого не обманешь..."
0,k5b8,Одежда + Игрушечный значок,"Не идеально, но лучше, чем ничего. [Удалите карту №25. Вычеркните D6. Если D5: Читать k5c4.]"
0,k5c4,Одежда,"Думаю, лучше уже не будет. [Вычеркните K7. Удалите карту №04. Возьмите карту №22.]"
0,k5h7,Одежда + Чертежи,"Хмм... Мне понадобится форма, чтобы свободно разгуливать по тюрьме."
0,k5j6,Одежда + Кирпич,Гениально! Теперь в штанах дырка... [Вычеркните J5.]
0,k5k0,Одежда + Бутылка,"[Если D9: Читать k5t5. Иначе:] Не, мне не нужна бутылка внутри."
0,k5t5,Одежда + Бутылка,"[Если D4 или D5: Читать k5v3. Иначе:] Да, ладно, немного почистим их..."
0,k5v3,Одежда + Бутылка,"Зачем мне смывать цвет? После всех усилий, которые я приложил, чтобы их покрасить?!"
0,k5x9,Одежда + Чайные пакетики,"Чай имеет правильный цвет, но... что я должен делать, втирать его?"
0,k9b3,Магнитная карта + Фальшивая форма,"Не думаю, что эта карта понадобится мне в тюрьме."
0,m1i0,Осмотреть чайные пакетики,"Текст на этикетке выцвел до неузнаваемости, но пахнет лимоном."
0,m1v2,Чайные пакетики + Коробка хлопьев,"Да, напиток, наверное, изменил бы цвет, но жидкости маловато..."
0,m8c7,Вешалка + Чертежи,"Если планы когда-нибудь намокнут, я их так и высушу."
0,m8h8,Вешалка + Магнит,Прикинь: эта металлическая вешалка... действительно магнитится! Шок. Сенсация.
0,m8m6,Вешалка + Передатчик,"Думаю, я мог бы сделать антенну из этой вешалки."
0,m8p4,Вешалка + Чайные пакетики,Они уже сухие.
